permalink,name,category_code,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at,last_milestone_at
/company/3dr-laboratories,3DR Laboratories,biotech,7200000,unknown,USA,KY,Louisville,louisville,1,NULL,8/23/2012,8/23/2012,NULL
/company/3guppies,3Guppies,games_video,20000000,unknown,USA,WA,Seattle,seattle,1,1/1/2003,4/5/2006,4/5/2006,NULL
/company/3jam,3Jam,mobile,4000000,unknown,USA,CA,SF Bay,san francisco,1,1/1/2005,7/1/2007,7/1/2007,12/21/2009
/company/3leaf,3Leaf,software,65000000,unknown,USA,CA,SF Bay,santa clara,3,6/1/2004,4/30/2007,9/22/2008,NULL
/company/3play-media,3Play Media,other,961601,unknown,USA,MA,Boston,somerville,2,1/1/2007,2/8/2010,6/21/2011,1/1/2007
/company/3point5-com,3point5.com,NULL,1500000,unknown,USA,UT,Salt Lake City,salt lake city,1,NULL,10/9/2006,10/9/2006,NULL
/company/3scan,3Scan,biotech,350000,unknown,USA,CA,SF Bay,san francisco,1,1/1/2011,4/23/2012,4/23/2012,NULL
/company/3tier-environmental-forecast-group,3TIER,cleantech,15000000,unknown,USA,WA,Seattle,seattle,3,1/1/1999,9/5/2007,2/25/2010,NULL
/company/3vr-security,3VR,security,53000000,unknown,USA,CA,SF Bay,san francisco,5,1/1/2002,1/17/2006,12/21/2010,8/1/2012
/company/4-tell,4-Tell,ecommerce,1025000,unknown,USA,OR,Portland,portland,2,4/1/2009,7/1/2011,1/1/2012,7/1/2012
/company/40billion-com,40billion.com,web,1050000,unknown,USA,GA,Atlanta,atlanta,3,1/23/2008,4/1/2008,6/1/2010,1/1/2008
/company/410-labs,410 Labs,web,750000,unknown,USA,MD,Baltimore,baltimore,1,1/1/2010,7/11/2011,7/11/2011,3/27/2013
/company/41st-parameter,41st Parameter,security,38064570,unknown,USA,CA,SF Bay,san jose,4,1/1/2004,5/8/2006,4/11/2012,4/12/2012
/company/425-307-3480,Loctronix,hardware,1000000,unknown,USA,WA,Seattle,woodinville,1,1/1/2006,1/17/2013,1/17/2013,NULL
/company/42floors,42Floors,web,17700000,unknown,USA,NY,New York,new york,3,1/1/2011,12/1/2011,1/31/2013,1/31/2013
/company/480-biomedical,480 Biomedical,biotech,37956999,unknown,USA,MA,Boston,watertown,3,1/1/2011,2/14/2012,4/12/2013,NULL
/company/4home,4Home,enterprise,9146354,acquired,USA,CA,SF Bay,sunnyvale,5,1/1/2006,8/1/2006,2/3/2010,12/1/2010
/company/4info,4INFO,advertising,56287613,unknown,USA,CA,SF Bay,san mateo,6,1/1/2004,3/1/2005,3/1/2013,4/1/2012
/company/4moms,4moms,hardware,20000000,unknown,USA,PA,Pittsburg,pittsburgh,1,1/1/2005,8/9/2012,8/9/2012,1/18/2013
/company/4s3-bioscience,4s3 Bioscience,biotech,20000000,unknown,USA,MA,Boston,medford,1,1/1/2007,3/5/2012,3/5/2012,3/1/2008
/company/5-oclock-records,5 O'Clock Records,software,440000,unknown,USA,NY,New York,new york,1,NULL,1/8/2013,1/8/2013,NULL
/company/500friends,500Friends,ecommerce,12900000,unknown,USA,CA,SF Bay,san francisco,4,1/1/2010,12/15/2009,3/12/2013,3/12/2013
/company/5min,5min Media,games_video,12800000,acquired,USA,NULL,NY 11215,ny,3,1/1/2007,4/1/2007,7/23/2009,10/11/2011
/company/5o9,5o9,software,50000,unknown,USA,CO,Denver,boulder,1,1/1/2006,5/14/2013,5/14/2013,NULL
/company/5th-finger,5th Finger,mobile,7000000,unknown,USA,CA,SF Bay,san francisco,1,1/1/2008,6/13/2008,6/13/2008,7/11/2012
/company/64-pixels,64 Pixels,web,100000,unknown,USA,CA,SF Bay,mountain view,1,10/1/2010,10/1/2010,10/1/2010,10/1/2010
/company/6connect,6connect,network_hosting,2000000,unknown,USA,CA,SF Bay,san francisco,1,1/1/2009,8/23/2011,8/23/2011,10/1/2012
/company/6fusion,6fusion,software,10000000,unknown,USA,NC,Raleigh-Durham,raleigh,2,1/1/2008,8/23/2010,8/22/2011,8/22/2011
/company/6th-sense-analytics,6th Sense Analytics,software,6700000,acquired,USA,NC,Raleigh-Durham,morrisville,2,1/1/2004,11/11/2005,1/31/2007,NULL
/company/7-billion-people,7 Billion People,web,5223902,unknown,USA,TX,Austin,austin,2,1/1/2006,2/9/2009,2/18/2010,6/22/2010
/company/7-star-entertainment,7 Star Entertainment,games_video,10000000,unknown,USA,FL,Fort Lauderdale,pompano beach,1,NULL,7/14/2010,7/14/2010,NULL
/company/71lbs,71lbs,enterprise,375000,unknown,USA,FL,Chicago,chicago,2,3/3/2011,6/1/2012,8/1/2012,1/1/2010
/company/7ac-technologies,7AC Technologies,NULL,7360000,unknown,USA,MA,Boston,beverly,3,1/1/2009,12/13/2011,7/25/2012,2/1/2013
/company/7billionideas,7billionideas,NULL,47566,unknown,USA,NULL,United States - Other,NULL,1,1/1/2011,4/7/2012,4/7/2012,NULL
/company/7summits,7Summits,consulting,600000,unknown,USA,WI,Milwaukee,milwaukee,1,4/1/2009,1/1/2010,1/1/2010,9/13/2011
/company/8dworld,8D World,games_video,12250000,unknown,USA,MA,Boston,woburn,2,NULL,3/1/2008,12/9/2010,12/13/2010
/company/8tracks,8tracks,web,1200000,unknown,USA,CA,SF Bay,san francisco,1,8/8/2008,10/1/2011,10/1/2011,10/26/2012
/company/908-devices,908 Devices,NULL,8100000,unknown,USA,MA,Boston,boston,1,NULL,9/5/2012,9/5/2012,NULL
/company/955-dreams,955 Dreams,mobile,3250000,unknown,USA,CA,SF Bay,mountain view,1,11/1/2010,1/26/2012,1/26/2012,3/5/2013
/company/a-bit-lucky,A Bit Lucky,games_video,7600000,acquired,USA,CA,SF Bay,san mateo,2,10/1/2009,3/15/2010,3/21/2011,3/21/2011
/company/a-g-pharmaceutical,A&G Pharmaceutical,biotech,2000000,unknown,USA,MD,Washington DC,columbia,1,NULL,9/8/2005,9/8/2005,NULL
/company/a-la-mobile,A la Mobile,software,7550000,unknown,USA,KS,SF Bay,san ramon,2,6/1/2005,7/1/2005,3/1/2007,1/1/2012
/company/a10-networks,A10 Networks,network_hosting,38000000,unknown,USA,CA,SF Bay,san jose,3,10/1/2004,1/1/2005,7/14/2008,2/18/2013
/company/a123systems,A123 Systems,cleantech,502860000,ipo,USA,MA,Boston,watertown,8,1/1/2001,11/1/2005,6/7/2012,6/17/2011
/company/aardvark,Aardvark,web,6000000,acquired,USA,CA,SF Bay,san francisco,2,7/1/2007,1/1/2007,10/1/2008,2/4/2012
/company/aastrom-biosciences,Aastrom Biosciences,biotech,40000000,unknown,USA,MI,Detroit,ann arbor,1,1/1/1989,3/9/2012,3/9/2012,12/1/2009
/company/ab-initio,Ab Initio,software,850000000,unknown,USA,MA,Boston,lexington,1,1/1/1990,2/19/2012,2/19/2012,NULL
/company/abacast-inc,Abacast,software,500000,unknown,USA,WA,Vancouver,vancouver,1,4/2/2000,11/11/2010,11/11/2010,12/13/2011
/company/abakan-inc,Abakan,cleantech,1190500,unknown,USA,FL,Miami,miami,3,1/1/2006,12/12/2012,6/5/2013,NULL
/company/abazab,Abazab,NULL,4100000,unknown,USA,CA,SF Bay,campbell,1,1/1/1997,5/5/2006,5/5/2006,NULL
/company/abeo,abeo,NULL,2012700,unknown,USA,TX,Dallas,dallas,1,NULL,11/30/2011,11/30/2011,NULL
/company/abes-market,Abe's Market,ecommerce,8400000,unknown,USA,MN,Minneapolis,minneapolis,3,9/1/2009,6/29/2010,1/17/2013,2/10/2011
/company/abgenomics,AbGenomics,biotech,8000000,unknown,USA,CA,SF Bay,los altos,1,NULL,6/10/2013,6/10/2013,NULL
/company/ability-network,ABILITY Network,NULL,27000000,unknown,USA,MN,Minneapolis,minneapolis,1,1/1/2000,5/17/2011,5/17/2011,NULL
/company/abilto,AbilTo,web,3000000,unknown,USA,NY,New York,new york,1,1/1/2008,5/14/2013,5/14/2013,NULL
/company/abine,Abine,web,5000000,unknown,USA,MA,Boston,boston,1,1/1/2008,7/12/2011,7/12/2011,3/18/2013
/company/abiquo-group,Abiquo Group,software,3758560,unknown,USA,CA,SF Bay,redwood city,1,1/1/2010,4/10/2013,4/10/2013,NULL
/company/abizinabox,aBIZinaBOX,consulting,500000,unknown,USA,IL,Chicago,evanston,1,8/17/1998,10/8/2008,10/8/2008,8/17/1998
/company/ablative-solutions,Ablative Solutions,biotech,7300000,unknown,USA,NJ,Fair Haven,fair haven,2,1/1/2011,6/19/2012,5/20/2013,NULL
/company/able-planet,Able Planet,hardware,150000,unknown,USA,CO,Denver,wheat ridge,1,1/1/2005,4/28/2010,4/28/2010,NULL
/company/abound-solar,Abound Solar,cleantech,510000000,unknown,USA,CO,Loveland,loveland,2,1/1/2007,7/6/2010,12/15/2010,11/1/2011
/company/aboutme,about.me,web,5675000,acquired,USA,CA,SF Bay,san francisco,1,2/5/2013,2/5/2013,2/5/2013,4/19/2011
/company/aboutone,AboutOne,web,3700000,unknown,USA,PA,Philadelphia,paoli,3,6/1/2010,5/1/2011,12/1/2011,12/2/2011
/company/aboutus-org,AboutUs.org,web,2500000,unknown,USA,OR,Portland,portland,1,1/1/2006,1/9/2009,1/9/2009,12/16/2011
/company/above-all-software,Above All Software,semiconductor,2100000,unknown,USA,CA,SF Bay,redwood city,1,1/1/2002,6/1/2005,6/1/2005,NULL
/company/abpathfinder,ABPathfinder,software,400000,unknown,USA,KS,Kansas City,overland park,1,6/1/2010,12/5/2012,12/5/2012,6/1/2012
/company/absolutdata,AbsolutData,software,20000000,unknown,USA,CA,SF Bay,alameda,1,NULL,8/23/2012,8/23/2012,NULL
/company/abt-molecular-imaging,ABT Molecular Imaging,other,15000000,unknown,USA,TN,Knoxville,knoxville,2,1/1/2006,1/21/2010,9/13/2012,9/1/2012
/company/abundant-closet,FashionAde.com (Abundant Closet),ecommerce,60000,unknown,USA,GA,Atlanta,atlanta,1,1/1/2008,2/23/2010,2/23/2010,5/31/2011
/company/acacia,Acacia,mobile,15000,unknown,USA,TN,Nashville,nashville,1,3/10/2012,5/20/2012,5/20/2012,3/10/2012
/company/acacia-communications,Acacia Communications,public_relations,23000000,unknown,USA,MA,Boston,maynard,2,NULL,12/12/2011,5/15/2013,NULL
/company/acacia-interactive,Acacia Interactive,software,259910,unknown,USA,TN,Nashville,nashville,1,1/1/2012,3/29/2013,3/29/2013,NULL
/company/acacia-research,Acacia Research,other,19600000,ipo,USA,CA,Los Angeles,newport beach,1,1/1/1992,2/10/2005,2/10/2005,1/13/2012
/company/academia-edu,Academia.edu,web,6700000,unknown,USA,CA,SF Bay,san francisco,3,9/1/2008,11/2/2007,11/30/2011,5/6/2013
/company/academix-direct-go-internet-media,AcademixDirect,web,10000000,unknown,USA,CA,SF Bay,mountain view,1,1/1/2004,1/1/2009,1/1/2009,2/15/2012
/company/acadia-pharmaceuticals,ACADIA Pharmaceuticals,biotech,101385000,ipo,USA,CA,San Diego,san diego,2,NULL,1/11/2011,1/2/2013,12/13/2012
/company/acadiasoft,AcadiaSoft,software,4000000,unknown,USA,MA,Boston,pembroke,1,1/1/2009,1/8/2010,1/8/2010,NULL
/company/accelera-mobile-broadband,Accelera Mobile Broadband,mobile,3033472,unknown,USA,CA,SF Bay,santa clara,1,1/1/2009,5/14/2013,5/14/2013,NULL
/company/accelerate-mobile-apps,Accelerate Mobile Apps,cleantech,250000,unknown,USA,CA,SF Bay,scotts valley,1,1/1/2009,12/22/2009,12/22/2009,NULL
/company/accelerated-io,Accelerated IO,software,4482708,unknown,USA,OK,Tulsa,tulsa,2,1/1/1997,11/5/2009,3/11/2011,NULL
/company/accelerize-new-media,Accelerize New Media,advertising,745500,unknown,USA,CA,Los Angeles,los angeles,1,1/1/2005,5/10/2010,5/10/2010,1/10/2011
/company/acceleron-pharma,Acceleron Pharma,biotech,111851121,unknown,USA,MA,Boston,cambridge,6,1/1/2004,8/2/2006,12/23/2011,8/3/2011
/company/accelgolf,AccelGolf,mobile,637282,unknown,USA,MA,Boston,cambridge,8,8/1/2008,1/1/2008,2/17/2010,2/17/2010
/company/accelitec,Accelitec,software,500000,unknown,USA,WA,Bellingham,bellingham,1,1/1/2001,6/11/2013,6/11/2013,NULL
/company/accellion,Accellion,security,12000000,unknown,USA,CA,SF Bay,palo alto,1,1/1/1999,1/4/2012,1/4/2012,1/4/2012
/company/accellos,Accellos,software,51400000,unknown,USA,CO,Colorado Springs,colorado springs,3,1/1/2006,11/17/2006,10/16/2012,8/17/2010
/company/accept-software,Accept Software,software,25305000,acquired,USA,CA,SF Bay,santa clara,4,1/1/2002,9/16/2005,12/14/2010,NULL
/company/accera,Accera,biotech,130631610,unknown,USA,CO,Denver,broomfield,6,1/1/2001,6/1/2004,5/7/2013,NULL
/company/accertify,Accertify,security,4700000,acquired,USA,IL,Chicago,itasca,2,3/1/2007,6/3/2008,5/4/2010,1/1/2011
/company/access-360-media,Access 360 Media,advertising,20000000,unknown,USA,CA,Los Angeles,los angeles,2,1/1/2003,10/29/2008,1/5/2011,10/1/2006
/company/access-closure,Access Closure,other,9999998,unknown,USA,CA,SF Bay,mountain view,1,1/1/2002,3/3/2010,3/3/2010,NULL
/company/access-intelligence,Access Intelligence,enterprise,7380000,unknown,USA,MD,Washington DC,rockville,2,NULL,7/1/2009,3/1/2010,NULL
/company/access-media-3,Access Media 3,NULL,30000000,unknown,USA,IL,Oakbrook,oakbrook,1,1/1/2007,2/9/2012,2/9/2012,NULL
/company/access-mediquip,Access MediQuip,software,46900000,unknown,USA,FL,Orlando,lake mary,1,1/1/1997,1/13/2013,1/13/2013,NULL
/company/access-mobile,access mobile,software,112500,unknown,USA,CO,Denver,denver,1,NULL,6/26/2013,6/26/2013,NULL
/company/access-northeast,Access Northeast,network_hosting,1999998,unknown,USA,MA,Boston,marlborough,1,1/1/1999,11/23/2009,11/23/2009,6/23/2010
/company/access-scientific,Access Scientific,hardware,10000000,unknown,USA,CA,San Diego,san diego,1,1/1/2004,6/9/2011,6/9/2011,11/7/2012
/company/accessdata,AccessData,software,45000000,unknown,USA,UT,Salt Lake City,lindon,2,1/1/1987,3/15/2013,3/15/2013,3/15/2013
/company/accessdna,Inherited Health,web,1155000,unknown,USA,CA,Los Angeles,los angeles,2,11/1/2007,1/1/2008,8/1/2009,9/30/2010
/company/accion-international,Accion,NULL,23000000,unknown,USA,MA,Boston,boston,2,1/1/1961,12/7/2011,6/26/2012,11/1/2012
/company/accipiter-systems,Accipiter Systems,software,3827799,unknown,USA,PA,Pittsburg,wexford,1,NULL,6/5/2013,6/5/2013,NULL
/company/acclaimd,Acclaimd,software,20000,unknown,USA,OH,Columbus,columbus,1,2/1/2012,6/1/2012,6/1/2012,2/1/2012
/company/acco-brands,Acco Brands,other,10000000,unknown,USA,IL,Chicago,lincolnshire,1,1/1/1947,2/1/2007,2/1/2007,1/1/1996
/company/acco-semiconductor,ACCO Semiconductor,semiconductor,12191919,unknown,USA,CA,SF Bay,sunnyvale,1,NULL,2/6/2013,2/6/2013,10/1/2011
/company/accordent-technologies,Accordent Technologies,NULL,4000000,acquired,USA,CA,Los Angeles,el segundo,1,NULL,3/29/2006,3/29/2006,NULL
/company/accountnow,AccountNow,web,34072000,unknown,USA,CA,SF Bay,san ramon,4,1/1/2003,8/9/2004,3/1/2008,NULL
/company/accruent-holdings,Accruent Holdings,software,32000000,unknown,USA,CA,Los Angeles,santa monica,1,1/1/1995,2/4/2010,2/4/2010,NULL
/company/accu-break-pharmaceuticals,Accu-Break Pharmaceuticals,biotech,1000000,unknown,USA,FL,Fort Lauderdale,plantation,1,1/1/2001,5/21/2013,5/21/2013,NULL
/company/accudial-pharmaceutical,Accudial Pharmaceutical,biotech,2476019,unknown,USA,FL,Palm Beach,boca raton,1,1/1/2010,5/30/2013,5/30/2013,NULL
/company/accudraft,AccuDraft,software,650000,unknown,USA,FL,Orlando,lake mary,1,1/1/1992,12/6/2006,12/6/2006,NULL
/company/accumetrics,Accumetrics,biotech,104640466,unknown,USA,CA,San Diego,san diego,8,1/1/1996,5/16/2003,4/11/2013,1/1/2013
/company/accurate-group,Accurate Group,other,12000000,unknown,USA,NC,Charlotte,charlotte,2,NULL,1/8/2013,1/8/2013,12/1/2012
/company/accurev,AccuRev,software,2100000,unknown,USA,MA,Boston,concord,1,1/1/1998,3/7/2005,3/7/2005,NULL
/company/accuri-cytometers,Accuri Cytometers,biotech,32655000,unknown,USA,MI,Detroit,ann arbor,8,NULL,3/1/2005,10/19/2010,NULL
/company/accuvein,AccuVein,hardware,22500000,unknown,USA,NY,Huntington,huntington,1,1/1/2006,7/28/2011,7/28/2011,NULL
/company/ace-comm,ACE*COMM,public_relations,2300000,unknown,USA,MD,Washington DC,gaithersburg,1,1/1/1983,3/31/2005,3/31/2005,3/1/2007
/company/ace-metrix,Ace Metrix,advertising,18700000,unknown,USA,CA,Los Angeles,el segundo,5,1/1/2007,8/1/2008,5/29/2012,9/24/2012
/company/acendi-interactive,Acendi Interactive,security,2090000,unknown,USA,CA,SF Bay,san francisco,1,NULL,1/9/2009,1/9/2009,NULL
/company/acera-surgical,Acera Surgical,hardware,500000,unknown,USA,MO,Saint Louis,saint louis,1,NULL,6/5/2013,6/5/2013,NULL
/company/acetylon-pharmaceuticals,Acetylon Pharmaceuticals,biotech,51250000,unknown,USA,MA,Boston,boston,5,1/1/2008,8/1/2009,2/9/2012,7/5/2011
/company/aceva-technologies,Aceva Technologies,software,5280000,acquired,USA,CA,SF Bay,san mateo,1,1/1/1999,7/21/2005,7/21/2005,4/1/2000
/company/achaogen,Achaogen,biotech,100905707,unknown,USA,CA,SF Bay,south san francisco,3,1/1/2004,10/10/2006,3/22/2013,1/1/2012
/company/achates-power,Achates Power,other,31300000,unknown,USA,CA,San Diego,san diego,2,1/1/2004,10/8/2009,1/11/2010,11/1/2011
/company/acheive-cca,Acheive CCA,consulting,5000000,unknown,USA,IN,Evansville,evansville,1,NULL,2/17/2009,2/17/2009,NULL
/company/achieve-x,Achieve X,web,150000,unknown,USA,PA,Philadelphia,conshohocken,1,1/1/2008,5/10/2010,5/10/2010,NULL
/company/achieve3000,Achieve3000,NULL,9000000,unknown,USA,NJ,Lakewood,lakewood,1,1/1/2000,7/24/2007,7/24/2007,NULL
/company/achieveit-online,AchieveIt Online,biotech,1500000,unknown,USA,GA,Atlanta,atlanta,1,1/1/2010,6/26/2013,6/26/2013,NULL
/company/achievers,Achievers,software,49122326,unknown,USA,CA,SF Bay,san francisco,4,1/1/1995,7/31/2008,9/28/2011,1/10/2012
/company/achievo-r-corporation,Achievo(R) Corporation,software,24000000,unknown,USA,CA,SF Bay,san ramon,1,NULL,2/26/2007,2/26/2007,NULL
/company/achillion-pharmaceuticals,Achillion Pharmaceuticals,biotech,50100000,ipo,USA,CT,New Haven,new haven,1,1/1/1998,8/18/2010,8/18/2010,8/30/2012
/company/achronix-semiconductor,Achronix Semiconductor,hardware,125933827,unknown,USA,CA,SF Bay,san jose,4,1/1/2004,1/23/2007,4/9/2013,NULL
/company/aciex-therapeutics,Aciex Therapeutics,biotech,8000000,unknown,USA,MA,Boston,westborough,1,NULL,8/12/2011,8/12/2011,NULL
/company/acinion,Blackwave,network_hosting,28000000,acquired,USA,MA,Boston,acton,3,1/1/2006,12/1/2006,9/30/2009,11/18/2010
/company/aclaris-therapeutics,Aclaris Therapeutics,biotech,21000000,unknown,USA,PA,Philadelphia,malvern,1,NULL,10/24/2012,10/24/2012,NULL
/company/aconex,Aconex,software,85000000,unknown,USA,CA,SF Bay,san bruno,1,1/1/2000,9/23/2008,9/23/2008,1/1/2012
/company/acopia-networks,Acopia Networks,NULL,20000000,acquired,USA,MA,Boston,lowell,1,1/1/2002,6/19/2006,6/19/2006,NULL
/company/acopio,Acopio,other,20000,unknown,USA,CA,California - Other,NULL,1,NULL,4/1/2012,4/1/2012,NULL
/company/acorns-grow,Acorns Grow,software,1145200,unknown,USA,CA,Los Angeles,newport beach,1,NULL,5/20/2013,5/20/2013,NULL
/company/acoustic-technologies,Acoustic Technologies,software,7974296,unknown,USA,AZ,Phoenix,mesa,1,1/1/1998,4/12/2013,4/12/2013,NULL
/company/acquaintable,Acquaintable,web,40000,unknown,USA,NY,New York,new york,1,1/1/2012,1/7/2013,1/7/2013,4/26/2013
/company/acquia,Acquia,enterprise,68500000,unknown,USA,MA,Boston,burlington,5,12/1/2007,12/1/2007,11/30/2012,10/25/2012
/company/acrisure,Acrisure,other,20000000,unknown,USA,MI,Grand Rapids,grand rapids,1,1/1/2006,1/29/2010,1/29/2010,NULL
/company/acronis,Acronis,software,11000000,unknown,USA,MA,Boston,burlington,1,1/1/2002,1/1/2004,1/1/2004,11/2/2009
/company/acsis,Acsis,software,6000000,unknown,USA,NJ,Philadelphia,marlton,1,1/1/1996,8/14/2006,8/14/2006,10/3/2011
